id,name,category,brand,model,price,specs,image_url,in_stock,created_at,updated_at
1,AMD Ryzen 7 7800X3D,CPU,AMD,Ryzen 7 7800X3D,339,"{""category"": ""CPU"", ""specs"": {""core_count"": 8, ""core_clock"": 4.2, ""boost_clock"": 5.0, ""tdp"": 120, ""graphics"": ""Radeon"", ""smt"": true}}",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_icVkBIOI_lCUVOcdPgbh8sOK86IN4iaOhQ&s,t,2025-05-10 01:40:38.272253,2025-05-10 01:40:38.272265
2,AMD Ryzen 5 7600X,CPU,AMD,Ryzen 5 7600X,204.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 4.7, ""boost_clock"": 5.3, ""tdp"": 105, ""graphics"": ""Radeon"", ""smt"": true}}","https://m.media-amazon.com/images/I/51UWjMwlNmL._AC_UF894,1000_QL80_.jpg",t,2025-05-10 01:40:38.272367,2025-05-10 01:40:38.272368
3,AMD Ryzen 5 5600X,CPU,AMD,Ryzen 5 5600X,144.31,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.7, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": null, ""smt"": true}}",https://m.media-amazon.com/images/I/51ld6RR8IrL.jpg,t,2025-05-10 01:40:38.272404,2025-05-10 01:40:38.272405
4,AMD Ryzen 5 7600,CPU,AMD,Ryzen 5 7600,185,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.8, ""boost_clock"": 5.1, ""tdp"": 65, ""graphics"": ""Radeon"", ""smt"": true}}",https://m.media-amazon.com/images/I/61h39mKsSBL.jpg,t,2025-05-10 01:40:38.272435,2025-05-10 01:40:38.272436
5,Intel Core 500X,CPU,Intel,Core i10-X,176,"{""category"": ""CPU"", ""specs"": {""core_count"": 7, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272458,2025-05-10 01:40:38.272459
6,AMD Ryzen 600X,CPU,AMD,Ryzen 600X,182.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272479,2025-05-10 01:40:38.272479
7,Intel Core 700X,CPU,Intel,Core i14-X,193.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272496,2025-05-10 01:40:38.272497
8,AMD Ryzen 800X,CPU,AMD,Ryzen 800X,204.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": null, ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272511,2025-05-10 01:40:38.272512
9,Intel Core 900X,CPU,Intel,Core i18-X,204.6,"{""category"": ""CPU"", ""specs"": {""core_count"": 7, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272527,2025-05-10 01:40:38.272528
10,AMD Ryzen 1000X,CPU,AMD,Ryzen 1000X,215.8,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272542,2025-05-10 01:40:38.272542
11,Intel Core 1100X,CPU,Intel,Core i22-X,227,"{""category"": ""CPU"", ""specs"": {""core_count"": 3, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272557,2025-05-10 01:40:38.272558
12,AMD Ryzen 1200X,CPU,AMD,Ryzen 1200X,238.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": null, ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272573,2025-05-10 01:40:38.272573
13,Intel Core 1300X,CPU,Intel,Core i26-X,249.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272592,2025-05-10 01:40:38.272593
14,AMD Ryzen 1400X,CPU,AMD,Ryzen 1400X,260.6,"{""category"": ""CPU"", ""specs"": {""core_count"": 8, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272607,2025-05-10 01:40:38.272608
15,Intel Core 1500X,CPU,Intel,Core i30-X,271.8,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272622,2025-05-10 01:40:38.272623
16,AMD Ryzen 1600X,CPU,AMD,Ryzen 1600X,283,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": null, ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272637,2025-05-10 01:40:38.272637
17,Intel Core 1700X,CPU,Intel,Core i34-X,294.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272651,2025-05-10 01:40:38.272652
18,AMD Ryzen 1800X,CPU,AMD,Ryzen 1800X,305.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 7, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272666,2025-05-10 01:40:38.272666
19,Intel Core 1900X,CPU,Intel,Core i38-X,316.6,"{""category"": ""CPU"", ""specs"": {""core_count"": 3, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.27268,2025-05-10 01:40:38.272681
20,AMD Ryzen 2000X,CPU,AMD,Ryzen 2000X,327.8,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": null, ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272695,2025-05-10 01:40:38.272696
21,Intel Core 2100X,CPU,Intel,Core i42-X,339,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.27271,2025-05-10 01:40:38.272711
22,AMD Ryzen 2200X,CPU,AMD,Ryzen 2200X,350.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272725,2025-05-10 01:40:38.272726
23,Intel Core 2300X,CPU,Intel,Core i46-X,361.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.27274,2025-05-10 01:40:38.272741
24,AMD Ryzen 2400X,CPU,AMD,Ryzen 2400X,372.6,"{""category"": ""CPU"", ""specs"": {""core_count"": 7, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272755,2025-05-10 01:40:38.272756
25,Intel Core 2500X,CPU,Intel,Core i50-X,383.8,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.27277,2025-05-10 01:40:38.272771
